,Comment text
98,They are sooooo in love. 😍😍😍
99,"7:42 - 8:00 even the captions went off when a woman starts to rant XD

""I GAVE YOU 7 YEARS OF MY LIFE!!"" killed me 😂😂😂 you both are going to be an amazing couple, period."
100,WOW HE HELD HER HAND HE HAS A CRUSH ON HER OOOOOOOOOOOOOOOOOOOOOOO (//•~•//)
101,"Wow, finally on trending."
102,Congratulations!
103,"the first words were literally,"" Hello, Thank you very much"""
104,Awww! Congratulations guys!!
105,Is she thick tho
106,"""Damn we need to slow down to get this video to 10 minutes""
*Felix 2018*"
107,*M A R R A G E   R E V I E W*
108,An army of more than 60million subs will always be there for you poodiepie <3
109,Omg i watchet your chanell in 7 years and i wase waiting for this moments
110,You two look awsome
111,Damn! My bro is getting married and cant wait to see their baby soon. Congrats my only one bro!!😘😘
112,Sorry to break it to you but Matthias and Amanda are Youtubers who had a daughter called Luna last year.
113,Ты себе накрутил подписчиков.Фуууу
114,Vad i helvete säger hon 13 sekunder in i videon det låter som we in gay 😂😂
115,"結婚おめでとう！💐
末永くお幸せに！💞"
116,Congrats pewds!!! 😄😄😄
117,#19 Trending in The Netherlands👍😉
118,:o you're still together
119,I haven't watched marzia in a while and I've noticed improvements in her accent
120,Congrats you two!!!😆😆😆
121,"PewDiePie
Congratulations!
You and Marzia are great examples of how couples should treat each other.
I wish you both health and supreme happiness.
Please have babies soon and make the donut shaped earth a better place."
122,лол сука блять на футболке:D
123,Best Man. Obviously has to be STEPHANOO
124,NOT YET!!!!!
125,Divorce divorce divorce 👾
126,I bet pewdiepie is a virgin
127,lol the question about disagreeing they are disagreeing. Is pewds doing that on purpose?
128,waiting for this for 5 years. Thought you would do it when you guys where in the expansive hotel with the pool a couple years back :D
129,You get Bob's and veganas pewds??
130,"I’m Belorussian.For those who don’t know,Belarus is situated in Eastern Europe,so Russian is a native language for me.And i feel really awkward watching pewdewpie’s video,in which he is in a sweatshirt that says”Suka blyad”.Because in Russian speaking countries the only people who often  say such things like suka blyad almost always are white trashes.That’s why I think it is not a good idea to spread such merch like that.U just would look ridiculous from the Russian speakers point of view"
131,I'm so happy omg
132,The voice
133,"I'm crying this is just sooooo damn cute . 😭😭😭😭❤️❤️❤️❤️ Ma heart can't even take it.  Mashallah :"""""") I hope they are together like hear and in the after life . God them ❤️❤️❤️😭😭😭"
134,"""We rarely disagree"" -starts to disagree"
135,СУКА БЛЯТЬ!!!
136,Cyka blyat
137,Her voice😍😍😍
138,your shirt cyka blyad :D :D :D
139,Awwwww their dog 😍
140,Trending? wow!
141,19? Not bad
142,10:55 i feel sorry for maya..😥
143,THIS IS TOO CUTE
144,Сука блять-bitch blond
145,Looks like Naruto is finally getting married with Hinata. About time.
146,I've been waiting since 2011 for this
147,If internet says don't get married then?
148,"Cyka Blyat?😏
Oh , lol"
149,YT playing this after “the proposal” ..... so I frickin hope y’all are ready to get married....
150,"Твою мать, когда будут русские субтитры"
151,Nice
152,Congrats main!
153,So cute❤️❤️❤️
154,i feel so old o.o
155,Who Knows?
156,Oh man look at the dog
157,12:10 Matthias is shook.
158,https://youtu.be/B_vOmH1yYbA
159,there wasn't an option for 100% in the first question
160,On the wedding I just see Mark and Jack
161,They'll  have an rablax wadding
162,"still like erin, bye.. going back to jacksfilms"
163,V. N
164,Aww congrats guys!
165,She punched him...🙈 He s her punching bag😻
166,YouTuber already have daughter name Luna... YouTuber name is Mathias
167,don't tell marzia
168,top 10 anime relationships
169,"please put subtitles in Romanian, because I am Romanian, and I do not really tepeg English"
170,I hope this channel doesn't turn to PewDiePie vlogs . Please don't
171,"if I could like this more than once, I might have done it 1000x"
172,"Felix: can I copy your homework?
Jacksfilms: yeah just change it up a bit
*shows yiay and lwiay* *shows jacks and Erin's marriage and Felix and marzias proposal*"
173,Omg Pewds is a soja boi
174,Now i am scared that marzia will get pregnant and felix will stop the YouTube channel for a while
175,"👏marriage👏review👏
1year later
👏pregnancy👏review
9month
👏kid👏review👏
20years later
👏divorce👏review👏"
176,I hope stephano will be at the wedding
177,Don't do it! Marriage is a trap.
178,is that actually her voice
179,Why does this women sound like a 5 year old girl?
180,i-i can has invite?
181,where's the beard 😐
182,NO pewdiepie dont get married  we dont wanna lose you man
183,Jr.Pewds coming soon!!!
184,Lol jacksfilms gets married Felix WE NEED TO GET MARRIED
185,Oh im so happy for my parents
186,I am dying over here! I can't handle the sweetness! It's so amazing to see Felix so genuinely happy and in love! You guys are perfect! You have the type of relationship I aspire to and I couldn't be happier for you!
187,Sorry but her voice tho.
188,I want to see little ducks (lenny)
189,"Хахахаха, ты супер))))"
190,0:11 *_WE'RE GAYYY_*
191,THEY ARE SO FUCKING CUTE OH MY GOOOD
192,Congrats guys! ;)
193,penis
194,I just focus on the dog tho
195,*Jacksfilms names his daughter Luna*
196,Omgggggggg I am so happy for both of you I have subscrivbe you when I was only like 6 now I am 12 it’s  been so long and now you guys are already married congrats!!!!🎈🎊🍾🎉
197,Congratssssss
198,I hate his voice 😐
199,OMYGOD THIS IS TOO ADORABLE
200,I hope slippy's ghost and ainsley were invited to the wedding
201,her voice is so weird
202,"❤❤💛💛💚💚💙💙💜💜💖💖💟💟💘💘
YOU 2 ARE THE PERFECT COUPLE
I COULD TELL EVEN WITHOUT THAT TEST
💘💘💟💟💖💖💜💜💙💙💚💚💛💛❤❤"
203,"Lol just as he said ""everyone is checking right now"" I was caught checking"
204,Yes
205,Youre talking about youre marriege while youre wearing a shirt that says a bad word for girls
206,congrats
207,My dad loves pewdiepie! So do me and my sister! Maybe we'll react to one of his videos!
208,"He's swedish, she's italian. What language do they speek when off camera..."
209,congrats pewds i am really happy for u guys
210,They are so freaking cute💙💗
211,"I'M 52YRS OLD, here's my *WARNING*
..if the two of you are enjoying life together..*DON'T GET MARRIED*  If the two of you would like to see the relationship end within 5 years *get married*...and if you do get her to sign a *prenup* !!!!!!
When two ppl love each other there's nothing worse than having a piece binding the two of you together, stay independently without conditions in love."
212,ma perchè il tono della sua voce è così alta ?
213,They really meant for each other :) hope it lasts forever
214,Shes a gold digger
215,"I'm guessing a lot of people haven't heard Marzia talk before so I'll try and do a quick summary on why on earth she has that voice lol (from what i've seen/heard).

In a very old video with Felix she is speaking and has a much deeper, 'normal' sounding voice. When I first saw this i thought for sure that this voice she puts on now is fake. But apparently that's the voice she would put on when she was nervous because she was aware of how weird her accent sounded. She is Italian so that could have something to do with it at as well, and she had nasal surgery at some point.

Hope that clears it up lol"
216,Felix is a confirmed soy boy
217,This video is 3 days later
218,"I was expecting pewds to propose by the end of the quiz, wait, did he propose yet? If no, DO IT PEWDS"
219,He already did. Privately when they were in Japan. You should check Marzia's youtube channel and there's a video there where Pewds and her explained how the proposal happened.
220,CONGRATS PEWDS!!! I'M SOOO PROUD
221,I'm sorry Pewds but Matthias took the name Luna
222,My dog gets nervous when she talks
223,omg why are u talking like a pig ??? thats so annnoooyyying ! 😒
224,Yaaay parents
225,Blameiton Hannah I believe it!
226,"Awwwwwww I’m so happy for you both 😘💓💓💓💓💓 







Can’t wait for my invite to the wedding 😉🤣🤣🤣🤣🤣💓"
227,Congrats you guys! I hope you two are life long partners!
228,3:40 Oh ma gaw XD *REJECTED*
229,Сука блять иди нахуй
230,Is she always sounds like that?
231,“My lovely little Marzia” 💖💖💖
232,Boy! get married!
233,SHAHEB do it!! Do it!!❤️❤️❤️
234,She looks amazing. Her voice is just awfully annoying
235,You two are adorable together!!!!!
236,Bonus marriage.
237,That would be with Jacksepticeye
238,"En fråga, ÄR HON EN SVENNE BANNAN??"
239,#TheGeneralGeneration
240,Your best man would be marklipier😂😂😂
241,If youre asking if you're ready for marriage then you are not tbh.  You know when youre ready and if you rely on views for such a silly question then the odds are you will be divorced in three years.
242,Shittttt man...the laast i saw you...you loook shitty...now your engage....congrats😀
243,This shirt is best for this video😀😂
244,We’re trending boiiisss
245,"Sarah and her husband!! Her wedding is going to be so awesome, I bet she will be pregnant before their wedding.  Awwweee🌹🌹🌹. Soon Sarah he will change that status single to married!!🤞🏻"
246,So uh. *Clears throat* ... We talking kids yet? Lol pewds Jr.? Mini marzia? Lol
247,Next vid plz : Are WE Ready to have sex.
248,"Thank you for asking ME, Pewdiepie. In MY opinion, YOU should absolutely get married. Yes, you will probably lose 1,5 % of your current scroggler amount. However, you can upload videos on marriage and family related topics. Can YOU imagine the growth of this channel, if there will be a baby in the future? CAN YOU?! I calculated that the birth of a child is at least 1.2 million new scrogglers worth. Oh, I am amazed, man, soooo amazed. This Channel could really skyrocket! Finally it will be a FAMILY-FRIENDLY channel. There is a lot of beautiful ad space! I see a lot of potential! So...- thank YOU for asking ME this very private question. Of course, I did not watch the video AT ALL, but you can thank ME later with a GREAT donation. Signed by #YourRandomInternetDouche"
249,Omg the suka blyat shirt😂😂
250,I’m so happy for you both! Congratulations Felix and Marzia ☺️ all marzipans and bros wish you guys a wonderful married life together 💖
251,Don't waste time. I let a lot fo good people go away in my life. Now I will die alone and old.  Get her forever
252,"Ooh, where is she from? Italy? I think... Maybe?.. Lucky guess?.."
253,Gosh we getting old! Congrats tho
254,1:11 look at that face :P
255,Congratulations!
256,is your pug smell?
257,the best intro more than jakes intro
258,what is wrong with her voice
259,AWWWW LOOK AT EDGAR HE'S ASLEEP WGOLE A VIDEO AWW SO CUTE
260,the thing that italian do with hands to count how much babies we will have is the same in Indonesia too 😲
261,the thing that italian do with hands to count how much babies we will have is the same in Indonesia too 😲
262,i cant believe his sweetness lol
263,Best man:Edgar
264,11:59 Matthias and Amanda?
265,"people saying they're gonna divorce and she'll claim half of his assets, she's a gold-digger, she's cheating on him, etc... you obviously have not watched much of Felix and Marzia, especially their vlogs. They're so in love with each other that it just makes love so real and wonderful and possible.

Also, to the people asking ""why is her voice high-pitched?"" I haven't looked this up lately but I remember in a video she said something about nasal issues, which may be factor (smaller airway = higher pitch). It may be her accent or her Italian roots. Heck, it just might be because she has a high-pitched voice because it's *normal* for some girls to have high-pitched voices. Have you never heard one before? So leave it alone, why don't ya?

Congrats to the engaged, hope you have a wonderful time!"
266,jellojyles ikr Haters gonna hate! LIKE STOP HATING ON HER MARZIA AND FELIX LOVE EACH OTHER SO MUCH THEY WILL NEVER DIVORCE
267,I love how this video is trending in our country at #35 while Marzia's video about the proposal is trending at #36
268,"This made me tear up a little. Been watching both of your channels for such a long time and when I received the news, it was just so.....beautiful. Congratulations once more and stay lovely. :’)   <3"
269,VAFANCULO FELIX
270,يا عرب
271,FELIX HAS BEEN STOLEN FROM YOUTUBE BY THIS... THIS WOMAN WITH A HIGH PITCHED VOICE!!!
272,"Pewdz, at your Age your ready to get married...

If this happens... DON'T FORGET TO INVITE ME AT YOUR WEDDING! I'M ZI BESS FLOWER GIRL!
🏵🌸💐👧💐🌸🏵"
273,"Best man - Edgar 
Maid of Honor - Maya"
274,Luna©
275,The tone of his voice triggers me. He seems to be a douche.
276,CRRRRRRRRRYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY
277,Ultimate soy boy
278,How can I block this channel?
279,Congratulations I'm happy for you guys
280,"Just don’t be stupid and get a prenup. If not in ten hrs she will take half your money for essentially doing nothing. Blows my mind when people with a lot of money think they don’t need it. “But we love each other!” Don’t be an idiot. Being logical in no means doesn’t mean you don’t love someone or trust them. 
I’ll check back in a few years when you’re whining on a video about divorce. See if you were smart enough to not be stupid. 🤦‍♂️"
281,"I like how maya reacts to it all. ""Yeah well im trying to sleep, do you mind?"""
282,"Love your vlogs, brill channel"
283,She sounds like a new born cat meowing
284,"Dammit, I love them. *sniffs*"
285,God bless your marriage 💫💫💫
286,Suaranya aneh ceweknya... aneh ga?
287,!!!TRENDING!!!🤗🤗🤗
288,Sleeping maya in the side is so cuteee
289,"""no it's the same as every day"""
290,oh damn it she look so old
291,"Pewdie this is the thing I tell every couple that before they get married go to marriage counselling and after they tied the knot go to marriage counselling. This means find that old couple who's been married for 30+ years and neither one of them have experienced divorce and learn from them. Just cause you found your ""soul mate"" don't mean shit. Marriage takes work, love takes sacrifice and commitment. If your not ready for that then don't, but however if you are don't wait get married."
292,*CYKA BLYAT*
293,"time fastly goes by, remember 2013 pewds?"
294,сука блять лучшая футболка евер
295,in Philippines we also have that belief on wrists on how many kids a person would have lol
296,"Hi Family😊😊
Bye YOUTUBE😩😩😩
*SAD BUT TRUE*
Xoxad😩😩😩"
297,at 7:54 - that looks like a kiss mark right in the middle of Marzia's neck^^
298,Matthias already named his child luna
299,Im going to have 223 kids this video helped me a lot
300,Whooooooooooooooooooo
301,I hope she doesn't believe in feminism
302,"2:07 👏👏 




*meme review*"
303,I bet you won't pin this.
304,I’m sorry there is already a Luna. Mathias channel
305,#19 on trending!!! They make me so happy!!
306,Ohhhhh DAMN BOI wtf they're finally getting married!!
307,on trending xD holy shit
308,OMG!!! I'm so happy for you two!! you are so cute together!!!
309,vjjkjjkkk
310,Fucking finally
311,Omedetō
312,Isn't Matthias's daughter named Luna?
313,"they look so cute,im puking"
314,name you kid brad 3
315,This is in trending in every country
316,*YES*
317,can't wait for baby poods
318,Matthias has a baby daughter called Luna already. Sorry to tell you Pewds.
319,“Suka Blyat!” 😂😂
320,YESSSSS!!!
321,noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo! sad day for every one no more lets plays! nnoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!
322,Do they know about Matthias taking the name Luna first xD
323,"""vaffanculo Felix"" so proud of you, your italian is perfect my boy"
324,7 years wow she better get half of everything
325,2:07 meme review
326,Кто дал ему эту кофту
327,Follow Jesus first .... then get married. Get God's Wisdom first!
328,Felix looks so happy 😭😭
329,YAAAAAAAAAY
330,There is nothing in a marriage for a man.  Stay single guys.  Half of first marriages fail.
331,lmfao is that maya lying down face first on the bed
332,Congrats bro
333,"Best man jack 
Ring bearer mark"
334,Isn't Matthias's baby girl named Luna?
335,"🖕
You copy Favij!!"
336,Do you guys have anything in common? Besides working out.
337,CONGRATZ !!! why maya doesnt seems so excited tho LOL
338,OMG BEST WISHES 💓💓💓 (Marzia x Pewds shipper for almost 5 years)
339,I hope Felix will say funny things at the wedding
340,OMGGG CUUUTEEE😍😍😭😭😭PLEASE ADOPT ME OR INVITE ME 😂😂😂😂💔💔
341,Luna(moon in latin) and Tsuki(moon in japanese) hmmm
342,"i love that shirt, i want it"
343,i love them as a couple more than i love a lot of things😂❤️
344,Does Pewds not like to be touched
345,Cyka blyat
346,Now I'm not saying she's a gold digger........
347,"Nice shirt, Felix"
348,10:15 VAFFANCULO FELIX Hahahahah
349,"But can you do this??? 


   ___O
  l"
350,Sekusu
351,So Cute
352,Lol the pug
353,#Bro Can U do Roast Of Sham Idrees And Froggy Utube Channel 😃
354,i wouldnt stand a day with marzia .. sqeuaaky voice af..
355,Yes.......
356,No one cared about your wedding
357,Вы глупый JK
358,can you make me your janitor?
359,I can't wait until you guys get married!!!!
360,Matter of time before she'll divorce him and claim half of his assets.
361,Congrats
362,Then she will complain about girls comments in his video's then they broke up:')
363,YES YOU AREE! I BELIEVE
364,I THINK I'M CRYING CONGRATS YOU GUYS AAAAAAAA
365,Got she is annoying
366,Holy fuck Marzia has changed since 2014.
367,https://youtu.be/itwBL3DpLFA Help him pls PG3D mod
368,FIRST TIME TRENDING!!
369,I thought you were married!
370,"OH GOD, MY HEART 💚"
371,Wow pewdie pie its trending in Ph😂😂😂
372,he’s just copying jack
373,again
374,Prenup?
375,"""Vaffanculo, Felix"" 
I think only someone who understand italian can have a good laugh on that scene xD"
376,How the fuck can u dislike this lovely moment.
377,Крутая толстовка!
378,whe she sounds like mouse?
379,Don't forget us after your marriage
380,Don't do it
381,Is that her voice??
382,This video made me happy
383,Congratulations! 😭🎉
384,*Edgar is heartbroken now*
385,СУКА БЛЯДЬ! 🙃
386,This is the cutest and sweetest thing ever!!! 💞
387,"Hey what's up guys it's Pewdiepie, in ""Pewdiepie"" I feel like he was copying his gf's voice"
388,"I though u guys broke up 
but 
nvm 
I'm happy for u guys."
389,Why does his girlfriend sound like a 48 year old Vietnamese prostitute
390,Congrats on your engagement :)  best wishes
391,My heart can't even in so happy for them
392,I am so happy for the both of youuuuuu
393,Get some Jesus first
394,Forza Napoli
395,He talks slower to her then he does his audience. He literally thinks the average youtuber is more intelligent then his fiance
396,"Ахах свитер "" сука блять"""
397,Target around cow boot average home interview history.
398,Fucking
399,Theese are my favorite Pewds vids.
400,i have 3
401,"""As you can see, I finally popped the question!""
_""DID YOU LAUGH OR DID YOU LOSE?""_"
402,"1.I realized that Maya was sleeping on the bed the entire time.

2. There's a YouTuber named Luna. :)"
403,PewDiePie is a slave.
404,Yes.
405,So does she call you felix or sir pewdsiepewds
406,"""Konnicha....arigato gozaimasu! We learn't a lot of Japanese."" Yup...you learn't Hello and thank you. That sure is a lot XD"
407,i like your video
408,This is cute
409,There is hindi subtitles in a English video i have never seen that  ...hawwwwwww
410,"My childhood bestfriend lasted 9 years and going....



were still friends"
411,Do you speak Swedish mainly to your fiancé?
412,Great t-shit!!! Lul
413,I think the see how much kids you will get is just for girls because they are getting pregnant not guys
414,If you ever get a kid(s) you need to name him Stephan
415,Marzia what happened to your hair!!! NUUUUU its cute buy NUUUUUUU and YOUR VOICE!!!!
416,the way they talk to eachother is so calming lol its a  different feeling hearing felix talk like this and not making weird ass noises or screaming lmao
417,Yaaaaaaaaayyyy
418,I just found out damn i need to catch up
419,AWWWWW SO SWEET
420,Congrats you guys!!! And FINALLY!!!
421,So like...... My name is *Lyna* but literally  ppl call me *Luna* ..... Idk...  I just feel a lil  loved now 😂😂😂💜
422,My eyes only focus on maya sleeping next to marzia
423,"Я не поняла, где русские, сука блять?"
424,"Omfg🤣🤣🤣🤣 “we were talking about poop before you proposed “ 

You know it’s really when to take a awkward convo into a romantic thing"
425,СУКА БЛЯТЬ
426,happy for u guys!
427,Congratulation!
428,Joint wedding collab with the Atwoods?
429,Her voice is terriblr
430,god took u long enough
431,"congrats pewds from 2011 keep supporting you :,D"
432,her voice is so squeaky
433,Is there a pug on the bottom right?
434,Yes
435,"*Loh, gue kira ramalan jumlah anak pake jendolan tangan cuma ada di Indonesia doang wkwk*"
436,"I'm so glad PewDiePie is a solo act, because she sounds like Yoko Ono."
437,yea u guys should get married i mean the both of u are at the right age anyways
438,since u play amnesia
439,Congratulations!!🎉🎊
440,mutual subscriber
441,Then they fck ......
442,Zhar Borneo obviously they do
443,I'm a freak im dead😂😂😂
444,Zhar Borneo cunt
445,i saw ur comment got 1k likes on the Confessions Of A Japanese Ex-Porn Star by Asian Boss lol
446,Zhar Borneo no shit thats how relationship work if you ever had one you'd know
447,I was going to slide into you IG DM’s and asked you if you needed a super demonetized photographer to snap your memories and the I realized that I not am Russia. Cyka aænRTb! 👾
448,Is that your girlfriend PewDiePie girl?
449,Nice shirt
450,My god u gyus are so cute
451,What is her name?
452,They totally fucked after this video
453,10 very nices
454,сука блять😂😂😂
455,"Don't worry about the kids question. I wanted 2, he wanted 3.. we have FIVE. opps. 
I think y'all are on a great path and you'll be fine. I really do and I have been married for 8 years. 
Everyone fights, it's normal. Communication and compromise is key. Its work but y'all will do fabulous."
456,trending */-\*
457,Her mouth looks like one of them titan from Attack on Titan. The mutation has started 😱😱😱😱
458,I WANT TO GO TO THEIR WEDDING!!!!!!!!!!!!! :'(
459,"""Are we ready to get married?""...Судя по футболке и кепке- не очень"
460,Ur kid will be a brain tumour. Her ovaries r a lost cause. #makeamericagreatagain this comment was a joke pls don't hurt me I have a bone marrow deficiency I have a weak body .....
461,Congrats guys! This video really made me see how you two understand and know each other! Goodluck and wish you guys the best
462,"dont marry her because u are already ready, u are already rich, already famous, already accomplished your goals, fulfill your dreams, but marry her because she is the only one can standstil by ur side regardless if you are nothing at all.. but Pew we dont want you to regret the decision u have made in sometime maybe. we support you, we are  you fans, you still have us"
463,"VIVA PEWDIEPIE 🇸🇪
VIVA SWEDEN 🇸🇪 

VIVA MARZIA 🇮🇹
VIVA ITALY 🇮🇹"
464,"Shittt ""Сука блядь"" serioslly mann ??!?!?!?!?1 hahaha"
465,сука блятская поздравляем от всей России бля
466,Sooo damn cute
467,awww thats so sweet
468,"To be fair, if Marzia stayed with him through all the different (weird and even a little disgusting) stages of his beard and hair, this is probably forever. Congrats to both of you, you are very cute together xx"
469,Marzia with the meme review claps tho :) 2_07
470,2:07 lol
471,"I wish you all the best in this life may u two complete all you're goals and have the best kids ever ...
God bless you and you're family bruv !"
472,congratulations! ♡
473,❤Best youtube couples❤
474,Сука блять хахахахахах ору
475,Babiez
476,"and then she will divorce you and take half your shit, better be prepared cause that's exactly what shes gonna do, so whatever money you made off youtube shes gonna run off with 1/2 of it most likely"
477,This is making me cry I’ve been watching you since I was a kid and I’ve seen you and Marzia grow as a couple and I hope I get what you guys have and congratulations on getting married l
478,Who cares?
479,Congratulations Felix and Marzia. You two are meant for each other. Have a happy life together. :)
480,Mazel Tov
481,Okay the whole joke about copying Jacksfilms has gone a bit far...
482,"Omg i'm watching pewds from the time he literally had 100 subs and the time he could barely pay his rent. Now he's the biggest youtuber in the world and he's getting married it is not only an emotional moment, but also a big moment for the bro Army. Love you pewds!  May you live long and happy because you have done so many things i can't thank you for. Brofist."
483,We can tell Marzia is Japanese now
484,The first aaaaalmost kid friendly content on his channel after a looooong time...
485,Lol I wish there was A video of the proposal 😂👍
486,These guys are absolute couple goals!
487,Lets do this 64million they will marry 😂😂
488,I’m mostly focusing on his CYKA BLYAT shirt or sweater
489,"Adorable video, you soyboy you"
490,See ing felix being normal:NAAAH seeing felix being uncomfortably stupid :  YAAY
491,😭😭❤
492,Yayyyyy. Finally
493,shes soo HOT
494,I thought you already broke up
495,Congrats pewds
496,💖💖💖💖💖💖💖💖💖💖💖
497,"Jacksfilms-Yiay man
Pewdiepie- Lwiay man 
Brad- best man"
498,СУКА БЛЯТЬ
499,I'm so happy for you Felix. Jag har följt dig sedan typ 2010 och vilken resa! Cheers to you and beautiful Marzia may you live happy forever! :D
500,Can i come to ur marriage?
501,I was smiling like an idiot throughout the whole video 😭❤️❤️
502,Хахахахаха СУКА БЛЯТЬ
503,"+++
:D"
504,СУКА БЛЯТЬ https://www.amazon.com/CYKA-BLYAT-GAMER-BORIS-SHIRT/dp/B07CK56KLV/ref=sr_1_1?ie=UTF8&keywords=cyka+blyat
505,AndDe PodveZ агась
506,Her voice is like Bernadette from big bang theory
507,Well congrats on your engagement pewds.
508,Have they ever had sex? They look too innocent for that 😂
509,nojamslol they have been dating for almost 10 years im pretty sure they have 😂
510,"Aww, adorable!"
511,*CONGRATS* ❤
512,i am genuinely so happy for them
513,Do it! just DO IT!!!!•
514,#TeamGURAL
515,This made me feel lonelier than I already am 🤧
