Unnamed: 0,Comment text,Class,Repeatedness,Tokens
128,logan where you at??? we think i care more about twitch and fortnite more than us.,0,2.0,"['logan', 'where', 'you', 'at', 'we', 'think', 'i', 'care', 'more', 'about', 'twitch', 'and', 'fortnite', 'more', 'than', 'us']"
129,my pe teacher we have a full day f- you -l-l day not a fool day f-o-o-l,0,2.0,"['my', 'pe', 'teacher', 'we', 'have', 'a', 'full', 'day', 'f', 'you', 'l', 'l', 'day', 'not', 'a', 'fool', 'day', 'f', 'o', 'o', 'l']"
130,where is maverick,0,0.0,"['where', 'is', 'maverick']"
131,im the real logan stop watching this faker,0,0.0,"['im', 'the', 'real', 'logan', 'stop', 'watching', 'this', 'faker']"
132,are you still training kong,0,1.0,"['are', 'you', 'still', 'training', 'kong']"
133,im going back to xperttheif and jake,0,1.0,"['im', 'going', 'back', 'to', 'xperttheif', 'and', 'jake']"
134,come back and do a vlog,0,0.0,"['come', 'back', 'and', 'do', 'a', 'vlog']"
135,what happened to logan,0,1.0,"['what', 'happened', 'to', 'logan']"
136,cmon... upload,0,2.0,"['cmon', 'upload']"
137,logan where are you,0,0.0,"['logan', 'where', 'are', 'you']"
138,logan get off of fortnite its been a whooolllee week!! we miss you ,0,11.0,"['logan', 'get', 'off', 'of', 'fortnite', 'its', 'been', 'a', 'whooolllee', 'week', 'we', 'miss', 'you']"
139, please do more blogs for the logang,0,0.0,"['please', 'do', 'more', 'blogs', 'for', 'the', 'logang']"
140,i used to love logan paul but now l dont cause he dont post no more i unsubscribed,0,0.0,"['i', 'used', 'to', 'love', 'logan', 'paul', 'but', 'now', 'l', 'dont', 'cause', 'he', 'dont', 'post', 'no', 'more', 'i', 'unsubscribed']"
141,100k on twitch like better than 17mils .mmhh. so.... twitch pays better than utube,0,7.0,"['100k', 'on', 'twitch', 'like', 'better', 'than', '17mils', 'mmhh', 'so', 'twitch', 'pays', 'better', 'than', 'utube']"
142,"i'll give it to you, you got my view. xd and an ad as well. i guess youtube took you out of the time-out corner, eh?",0,4.0,"['i', 'll', 'give', 'it', 'to', 'you', 'you', 'got', 'my', 'view', 'xd', 'and', 'an', 'ad', 'as', 'well', 'i', 'guess', 'youtube', 'took', 'you', 'out', 'of', 'the', 'time', 'out', 'corner', 'eh']"
143,why are you not posting anymore i miss you ,0,1.0,"['why', 'are', 'you', 'not', 'posting', 'anymore', 'i', 'miss', 'you']"
144,"suzette sandoval, he died",0,1.0,"['suzette', 'sandoval', 'he', 'died']"
145,i unsubscribed because hes not entertaining anymore and he keeps missing the daily upload,0,2.0,"['i', 'unsubscribed', 'because', 'hes', 'not', 'entertaining', 'anymore', 'and', 'he', 'keeps', 'missing', 'the', 'daily', 'upload']"
146,i see,0,1.0,"['i', 'see']"
147, i subscribed in the first place because a year ago he was actually funny and he had ideas for videos but now hes not that funny anymore and ran out of ideas,0,3.0,"['i', 'subscribed', 'in', 'the', 'first', 'place', 'because', 'a', 'year', 'ago', 'he', 'was', 'actually', 'funny', 'and', 'he', 'had', 'ideas', 'for', 'videos', 'but', 'now', 'hes', 'not', 'that', 'funny', 'anymore', 'and', 'ran', 'out', 'of', 'ideas']"
148,"madelynn dejesus, why did you subscribe in the first place",0,1.0,"['madelynn', 'dejesus', 'why', 'did', 'you', 'subscribe', 'in', 'the', 'first', 'place']"
